NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,ACERTOS_MT,ACERTOS_CN,ACERTOS_CH,ACERTOS_LC
372.6,500.1,425.4,518.4,3,13,12,5
373.3,389.9,534.3,552.4,3,9,21,11
374.8,411.7,391.3,482.4,5,8,10,9
375.3,380.2,440.7,413.0,6,8,10,11
376.1,476.5,377.5,382.2,3,11,8,8
378.0,475.3,445.4,560.9,5,14,10,9
378.0,477.5,503.1,500.8,4,13,18,5
378.0,507.1,597.9,578.4,7,13,28,16
378.6,376.1,513.5,514.8,6,9,17,7
378.6,508.7,531.1,514.1,5,13,21,12
379.2,397.9,379.7,404.9,4,10,11,11
379.2,424.1,441.0,439.3,6,11,12,10
379.3,387.0,408.6,456.6,4,7,11,14
379.6,416.4,441.2,404.1,6,10,13,11
379.9,504.7,566.2,517.4,6,13,25,15
381.7,476.4,474.1,444.6,5,13,14,7
382.2,426.2,392.0,429.2,5,10,8,7
383.3,489.2,516.0,553.3,4,13,18,15
384.1,409.2,449.8,405.8,4,5,13,9
384.2,483.4,453.0,455.8,8,16,12,9
384.4,371.3,347.0,475.4,9,8,10,13
385.0,376.7,485.6,457.1,11,6,14,8
386.0,470.9,477.3,475.0,8,9,14,9
386.6,445.7,505.4,530.3,4,11,17,9
386.8,492.2,518.7,563.8,5,11,18,12
387.1,434.7,431.4,521.0,6,14,9,16
387.3,576.8,582.5,581.1,12,21,25,14
387.4,505.2,442.0,574.4,9,13,12,9
387.5,393.2,441.7,526.3,5,8,13,14
387.7,570.8,603.7,644.3,6,16,28,13
388.0,374.6,372.5,474.2,5,9,8,8
388.2,598.5,503.7,556.5,7,23,17,6
388.3,421.9,332.0,382.5,5,8,8,13
388.3,366.8,499.5,554.2,6,6,20,10
389.1,373.5,452.4,317.8,5,6,13,8
389.4,417.9,405.2,477.9,9,9,7,9
390.0,430.7,424.0,467.3,7,10,9,11
390.6,418.6,479.4,503.5,9,12,15,12
390.7,372.0,448.2,462.9,4,7,14,12
391.1,473.5,448.4,461.6,7,12,14,13
391.5,430.3,553.1,489.4,8,8,22,14
391.6,463.6,496.4,478.3,10,14,16,7
392.3,459.3,505.4,516.9,5,10,16,11
392.6,377.2,504.2,433.8,7,8,16,8
393.7,344.8,381.7,509.7,8,5,9,14
393.8,427.2,539.8,560.5,9,11,20,12
393.8,425.5,508.5,492.6,9,9,17,14
394.0,377.0,394.0,373.5,7,7,9,10
394.4,409.5,490.7,497.0,6,8,18,7
395.3,493.5,525.4,480.2,6,12,20,4
396.0,498.4,424.2,520.5,8,8,10,8
396.4,394.0,353.6,396.7,7,5,9,10
397.6,402.0,392.6,490.3,6,7,10,8
397.8,445.2,508.3,491.6,5,8,16,7
398.0,390.7,509.4,506.1,11,8,17,10
398.0,457.4,561.4,486.9,7,8,24,10
398.4,421.5,325.3,470.6,2,8,6,12
